origem,data,remetente,mensagem,mensagem_clean
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,olá,ola
instagram_csv,,cliente,como falo com alguém daí,como falo com alguem dai
instagram_csv,,cliente,comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,comprei um body e paguei frete de <num> dias uteis pra levar pra uma viagem agora na sexta
instagram_csv,,cliente,mas a peça ainda não chegou,mas a peca ainda nao chegou
instagram_csv,,cliente,era pra ter chegado ontem,era pra ter chegado ontem
instagram_csv,,cliente,com quem falo b,com quem falo b
instagram_csv,,cliente,???,
instagram_csv,,cliente,"oii, tudo bem??",oii tudo bem
instagram_csv,,curadobia,"olá gabriela, boa tarde! tudo bem?",ola gabriela boa tarde tudo bem
instagram_csv,,curadobia,peço desculpa pela demora em lhe retornar,peco desculpa pela demora em lhe retornar
instagram_csv,,curadobia,verificamos com a marca responsável pelo envio a revival. o seu pedido sofreu um pequeno atraso que a marca me informou ter lhe comunicado por whatsapp,verificamos com a marca responsavel pelo envio a revival o seu pedido sofreu um pequeno atraso que a marca me informou ter lhe comunicado por whatsapp
instagram_csv,,curadobia,seu pedido saiu para entrega hoje e está constando aqui como entregue,seu pedido saiu para entrega hoje e esta constando aqui como entregue
instagram_csv,,curadobia,ele foi postando dia 16 com o código de rastreio aa186736680br,ele foi postando dia <num> com o codigo de rastreio aa <num> br
instagram_csv,,cliente,chegou,chegou
instagram_csv,,cliente,mas paguei por uma coisa que não recebi,mas paguei por uma coisa que nao recebi
instagram_csv,,cliente,então era pra ter pago menos a meu ver,entao era pra ter pago menos a meu ver
instagram_csv,,cliente,e achei muito difícil o contato com vcs,e achei muito dificil o contato com vcs
instagram_csv,,cliente,não tem um link de comunicação no whatsapp,nao tem um link de comunicacao no whatsapp
instagram_csv,,cliente,no e-mail da nota fiscal não tem nada,no e mail da nota fiscal nao tem nada
instagram_csv,,cliente,precisei escrever em uma postagem,precisei escrever em uma postagem
instagram_csv,,cliente,"enfim , por muito pouco não me atende",enfim por muito pouco nao me atende
instagram_csv,,cliente,paguei sedex porque estou indo hoje pra londres e queria levar o body,paguei sedex porque estou indo hoje pra londres e queria levar o body
instagram_csv,,cliente,e o body me chega hoje,e o body me chega hoje
instagram_csv,,cliente,muito tenso,muito tenso
instagram_csv,,cliente,por muito pouco a minha frustração seria ainda maior,por muito pouco a minha frustracao seria ainda maior
instagram_csv,,cliente,"o produto é lindo , apesar de ter ficando um pouco grande",o produto e lindo apesar de ter ficando um pouco grande
instagram_csv,,cliente,mas a experiência de compra não foi legal,mas a experiencia de compra nao foi legal
instagram_csv,,curadobia,"gabriela entendo sua frustração e é completamente justificada. de fato a marca informou ter tido um pequeno problema de produção que não deverá mais ocorrer e por isso acabou enviando atrasado seu pedido. sobre o meio de contato, estamos providenciando um número para atendimento whatsapp, por hora estamos apenas com o e-mail mas muito em breve já deixaremos essa opção mais fácil para solução de qualquer problema",gabriela entendo sua frustracao e e completamente justificada de fato a marca informou ter tido um pequeno problema de producao que nao devera mais ocorrer e por isso acabou enviando atrasado seu pedido sobre o meio de contato estamos providenciando um numero para atendimento whatsapp por hora estamos apenas com o e mail mas muito em breve ja deixaremos essa opcao mais facil para solucao de qualquer problema
instagram_csv,,curadobia,"pedimos desculpas pelo ocorrido e pode ter certeza que isso servirá para aprimorarmos nosso atendimento e não deixar que situações como essa ocorram novamente. agradeço sua compreensão e nos disponibilizamos para auxiliar da melhor forma possível. sobre ter ficado um pouco grande o body, nos informe se desejar efetuar troca, que já posso agilizar junto a marca essa solicitação",pedimos desculpas pelo ocorrido e pode ter certeza que isso servira para aprimorarmos nosso atendimento e nao deixar que situacoes como essa ocorram novamente agradeco sua compreensao e nos disponibilizamos para auxiliar da melhor forma possivel sobre ter ficado um pouco grande o body nos informe se desejar efetuar troca que ja posso agilizar junto a marca essa solicitacao
instagram_csv,,curadobia,"olá, tudo bem sim e com você?",ola tudo bem sim e com voce
instagram_csv,,cliente,tudo bem também!!,tudo bem tambem
instagram_csv,,cliente,"somos uma produtora de áudio visual, e achamos que seria interessante apresentar o nosso trabalho e portifólio!",somos uma produtora de audio visual e achamos que seria interessante apresentar o nosso trabalho e portifolio
instagram_csv,,cliente,você poderia me passar o contato dos responsáveis?!,voce poderia me passar o contato dos responsaveis
instagram_csv,,curadobia,"claro, pode enviar para nosso e-mail contato.curadobia@gmail.com",claro pode enviar para nosso e mail contato curadobia <user> com
instagram_csv,,cliente,"de todo modo , agradeço por perguntar",de todo modo agradeco por perguntar
instagram_csv,,cliente,tudo bem,tudo bem
instagram_csv,,cliente,"não vou trocar , vou tentar reduzir o gancho",nao vou trocar vou tentar reduzir o gancho
instagram_csv,,cliente,muito obrigada!! tenham um bom fim de semana!,muito obrigada tenham um bom fim de semana
instagram_csv,,curadobia,igualmente!,igualmente
instagram_csv,,curadobia,ok perfeito. caso mude de ideia seguimos à disposição! novamente desculpa pelo transtorno e desejo uma ótima viagem! 🙏🏼,ok perfeito caso mude de ideia seguimos a disposicao novamente desculpa pelo transtorno e desejo uma otima viagem
instagram_csv,,cliente,curtiu uma mensagem,curtiu uma mensagem
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,ebaaaaa,ebaaaaa
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,"ola bia sou a daniela e gostaria de apresentar minha marca pra vc, a queens gate. minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! a sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. moro em londres e minha sócia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 obrigada ! +1(917)868-9790",ola bia sou a daniela e gostaria de apresentar minha marca pra vc a queens gate minha socia e eu ja te acompanhamos tem um bom tempo e somos muito fas a sua curadoria com seus neutros com tcharanz reforcou a vontade de apresentar o conceito da nossa marca pra vc vamos completar <num> ano em agosto e adorariamos um bate papo com vc pra contar nossa historia e nossos planos moro em londres e minha socia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha obrigada <num> <num> <num> <num>
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,"oi daniela, que bacana! muito obrigada por acompanharem e curtirem meu trabalho",oi daniela que bacana muito obrigada por acompanharem e curtirem meu trabalho
instagram_csv,,curadobia,adorei as bolsas de vcs.,adorei as bolsas de vcs
instagram_csv,,curadobia,vamos falar sim super.,vamos falar sim super
instagram_csv,,cliente,feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,feliz demais q vc gostou me fala como funciona melhor pra vc e marcamos um call
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,"olá, gente! bom dia! acabei de ver o post da bia sobre camisas. somos uma pequena alfaiataria e camisaria é o core da nossa criação. gostaria muito de apresentar nosso produto pra vocês. se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. abraço, stella",ola gente bom dia acabei de ver o post da bia sobre camisas somos uma pequena alfaiataria e camisaria e o core da nossa criacao gostaria muito de apresentar nosso produto pra voces se voces acharem conveniente por favor indiquem a melhor forma de contato abraco stella
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,https://www.instagram.com/queensgatestore?igsh=mjc0c2g5chnmn25k&utm_source=qr,<url>
instagram_csv,,curadobia,"olá daniela, boa tarde! tudo bem?",ola daniela boa tarde tudo bem
instagram_csv,,curadobia,"claro, vamos conversar sim. o que acha de fazermos uma reunião on-line?",claro vamos conversar sim o que acha de fazermos uma reuniao on line
instagram_csv,,curadobia,segunda na parte da tarde você teria disponibilidade?,segunda na parte da tarde voce teria disponibilidade
instagram_csv,,curadobia,"olá stella, boa tarde! tudo bem?",ola stella boa tarde tudo bem
instagram_csv,,curadobia,bacana! vamos marcar uma conversa?,bacana vamos marcar uma conversa
instagram_csv,,curadobia,como estaria sua agenda para segunda à tarde?,como estaria sua agenda para segunda a tarde
instagram_csv,,cliente,"acho ótimo. pode ser segunda 29 na parte da tarde. estamos com 4horas de fuso, qual horário seria bom pra vc?",acho otimo pode ser segunda <num> na parte da tarde estamos com <num> horas de fuso qual horario seria bom pra vc
instagram_csv,,cliente,boa tarde! tudo ótimo! segunda à tarde em qualquer horário.,boa tarde tudo otimo segunda a tarde em qualquer horario
instagram_csv,,curadobia,"ah perfeito, funcionaria as 15h fuso são paulo?",ah perfeito funcionaria as <num> h fuso sao paulo
instagram_csv,,curadobia,"ah perfeito, 16h poderia ser?",ah perfeito <num> h poderia ser
instagram_csv,,curadobia,qual seu e-mail? que aí envio um invite,qual seu e mail que ai envio um invite
instagram_csv,,cliente,fechado 3pm brasil !,fechado <num> pm brasil
instagram_csv,,curadobia,qual seu e-mail?,qual seu e mail
instagram_csv,,curadobia,que aí já envio um invite,que ai ja envio um invite
instagram_csv,,cliente,daniela.masson@hotmail.com,daniela masson <user> com
instagram_csv,,curadobia,"enviado, obrigada! até segunda",enviado obrigada ate segunda
instagram_csv,,cliente,obrigada ! até lá,obrigada ate la
instagram_csv,,cliente,stellathomazbastos@gmail.com,stellathomazbastos <user> com
instagram_csv,,cliente,funciona,funciona
instagram_csv,,curadobia,ah show vou enviar o invite,ah show vou enviar o invite
instagram_csv,,curadobia,enviado,enviado
instagram_csv,,curadobia,até segunda!,ate segunda
instagram_csv,,cliente,😍,
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,isabela sent an attachment.,isabela sent an attachment
instagram_csv,,cliente,onde e a loja?,onde e a loja
instagram_csv,,curadobia,"ola isabela, somos um marketplace sem loja fisica",ola isabela somos um marketplace sem loja fisica
instagram_csv,,cliente,curtiu uma mensagem,curtiu uma mensagem
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,"toque em ""continuar"" para aceitar ou recusar o pedido.",toque em continuar para aceitar ou recusar o pedido
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,curadobia,"opa, acho que caiu",opa acho que caiu
instagram_csv,,curadobia,"daniela, depois me passa seu número de telefone que aí seguimos a comunicação por lá e pelo e-mail",daniela depois me passa seu numero de telefone que ai seguimos a comunicacao por la e pelo e mail
instagram_csv,,curadobia,agora parece que travou mesmo,agora parece que travou mesmo
instagram_csv,,curadobia,"stella, depois peço apenas que compartilhe seu número de telefone que aí fica mais fácil nossa comunicação",stella depois peco apenas que compartilhe seu numero de telefone que ai fica mais facil nossa comunicacao
instagram_csv,,cliente,11-991428141,<num> <num>
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,"ola meninas seguem meus contatos: +1(917)868-9790 daniela.masson@hotmail.com muito bom falar com vcs ontem, obrigada ! falamos na sequência por whatsapp 🌷",ola meninas seguem meus contatos <num> <num> <num> <num> daniela masson <user> com muito bom falar com vcs ontem obrigada falamos na sequencia por whatsapp
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,cecilia sent an attachment.,cecilia sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,"toque em ""continuar"" para aceitar ou recusar o pedido.",toque em continuar para aceitar ou recusar o pedido
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,curadobia,"bia, eu terminei de subir os produtos porém acho que está com um delay. amanhã vou ver se terminou de atualizar. na plataforma tá tudo certinho (4 categorias que criei) com todo produtos, descrição, vídeos, etc",bia eu terminei de subir os produtos porem acho que esta com um delay amanha vou ver se terminou de atualizar na plataforma ta tudo certinho <num> categorias que criei com todo produtos descricao videos etc
instagram_csv,,curadobia,"mas acho que está ""processando"" para subir tudo",mas acho que esta processando para subir tudo
instagram_csv,,cliente,eu estou vendo mesmo que está demorando. mas super obrigada! bom final de semana brenda,eu estou vendo mesmo que esta demorando mas super obrigada bom final de semana brenda
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,adorei!!!! 😘😘🌷,adorei
instagram_csv,,cliente,mybasic sent an attachment.,mybasic sent an attachment
instagram_csv,,cliente,mybasic sent an attachment.,mybasic sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,due sent an attachment.,due sent an attachment
instagram_csv,,cliente,imagem enviada,imagem enviada
instagram_csv,,cliente,esse é o fechado,esse e o fechado
instagram_csv,,curadobia,o meu é @curadobia.oficial 😉,o meu e <user> oficial
instagram_csv,,cliente,já tô seguindo 👊🏻,ja to seguindo
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,acabei de comprar um conjunto. se não servir posso trocar? pelo seu cep deve ser perto da minha casa. o meu 04531-020,acabei de comprar um conjunto se nao servir posso trocar pelo seu cep deve ser perto da minha casa o meu <num> <num>
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,curadobia,claro! pode trocar super,claro pode trocar super
instagram_csv,,curadobia,https://www.curadobia.com.br/my-basic/produto/vestido-bordo,<url>
instagram_csv,,curadobia,"ola vanilda, segue os detalhes aqui",ola vanilda segue os detalhes aqui
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,curtiu uma mensagem,curtiu uma mensagem
instagram_csv,,cliente,"boa tarde! na página da regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do g, que são justamente o que visto. poderia me enviar essas medidas dos tamanhos gg e xgg, por favor?",boa tarde na pagina da regata podrinha cinza eu nao consigo ver as medidas dos tamanhos acima do g que sao justamente o que visto poderia me enviar essas medidas dos tamanhos gg e xgg por favor
instagram_csv,,curadobia,"olá, boa tarde! tudo bem?",ola boa tarde tudo bem
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,curadobia,"claro envio sim, mas até para nós entendermos o que está ocorrendo com essa visualização. você está acessando pelo celular? que aí já direcionamos pra equipe técnica corrigir",claro envio sim mas ate para nos entendermos o que esta ocorrendo com essa visualizacao voce esta acessando pelo celular que ai ja direcionamos pra equipe tecnica corrigir
instagram_csv,,curadobia,imagem enviada,imagem enviada
instagram_csv,,curadobia,aqui a tabela certinha mas já estamos com o pessoal técnico corrigindo esse erro,aqui a tabela certinha mas ja estamos com o pessoal tecnico corrigindo esse erro
instagram_csv,,cliente,estou vendo pelo celular sim.,estou vendo pelo celular sim
instagram_csv,,cliente,tá joia.,ta joia
instagram_csv,,cliente,muito obrigada pela atenção!,muito obrigada pela atencao
instagram_csv,,curadobia,"perfeito, já passei pro pessoal realizar a correção. obrigada pelo feedback!",perfeito ja passei pro pessoal realizar a correcao obrigada pelo feedback
instagram_csv,,curadobia,imagina!,imagina
instagram_csv,,cliente,a calça ficou sobrando muito atrás.,a calca ficou sobrando muito atras
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,"olá, boa noite",ola boa noite
instagram_csv,,cliente,gostaria de saber o tamanho da cintura dessa calça no tamanho m,gostaria de saber o tamanho da cintura dessa calca no tamanho m
instagram_csv,,cliente,imagem enviada,imagem enviada
instagram_csv,,curadobia,sem problemas mari. apenas encaminha pra gente um e-mail solicitando que iremos dar sequência com a troca. e-mail: contato.curadobia@gmail.com,sem problemas mari apenas encaminha pra gente um e mail solicitando que iremos dar sequencia com a troca e mail contato curadobia <user> com
instagram_csv,,curadobia,"olá dany! boa tarde, tudo bem?",ola dany boa tarde tudo bem
instagram_csv,,curadobia,"seguem as medidas: p- cós 80cm, e veste quadril até 102cm m- cós 85cm, e veste um quadril até 106cm g- cós 90cm, e veste um quadril até 110cm",seguem as medidas p cos <num> cm e veste quadril ate <num> cm m cos <num> cm e veste um quadril ate <num> cm g cos <num> cm e veste um quadril ate <num> cm
instagram_csv,,curadobia,estaremos atualizando no site para conter essa tabela que realmente estava faltando,estaremos atualizando no site para conter essa tabela que realmente estava faltando
instagram_csv,,curadobia,agradeço o feedback,agradeco o feedback
instagram_csv,,cliente,maravilha!,maravilha
instagram_csv,,cliente,mto obrigada msm,mto obrigada msm
instagram_csv,,curadobia,imagina!,imagina
instagram_csv,,cliente,oieee,oieee
instagram_csv,,cliente,bom dia,bom dia
instagram_csv,,cliente,"caso não fique com, como funciona a troca?",caso nao fique com como funciona a troca
instagram_csv,,curadobia,"olá dany, bom dia! caso tenha algum problema com o tamanho você pode optar por trocar ou devolver o produto. basta nos informar pelo e-mail contato.curadobia@gmail.com que iremos encaminhar sua solicitação para a marca responsável. a marca irá proceder com os próximos passos como envio do código de logística reversa e tudo mais",ola dany bom dia caso tenha algum problema com o tamanho voce pode optar por trocar ou devolver o produto basta nos informar pelo e mail contato curadobia <user> com que iremos encaminhar sua solicitacao para a marca responsavel a marca ira proceder com os proximos passos como envio do codigo de logistica reversa e tudo mais
instagram_csv,,curadobia,nós seguimos acompanhando todo o processo até sua finalização,nos seguimos acompanhando todo o processo ate sua finalizacao
instagram_csv,,cliente,ahhh maravilha,ahhh maravilha
instagram_csv,,cliente,mto obrigada,mto obrigada
instagram_csv,,cliente,ainda hj vou efetuar a compra da calça,ainda hj vou efetuar a compra da calca
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,imagina! estamos por aqui qualquer coisa que precisar!,imagina estamos por aqui qualquer coisa que precisar
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,curadobia,"oi mari! boa tarde. ah que ótimo, combinado então. fico muito feliz que o conjunto tenha ficado bacana. conta com a gente para o que precisar. grande abraço, aproveite o final de semana! torcendo para baixar um pouco a temperatura 😊",oi mari boa tarde ah que otimo combinado entao fico muito feliz que o conjunto tenha ficado bacana conta com a gente para o que precisar grande abraco aproveite o final de semana torcendo para baixar um pouco a temperatura
instagram_csv,,cliente,"e eu, como estou na praia, torcendo para não baixar!!!!!🤣🤣🤣",e eu como estou na praia torcendo para nao baixar
instagram_csv,,curadobia,"ahhh bom 😂. entendi errado então, achei que estava na serra. espero que abra o tempo e fiquei um lindo final de semana!",ahhh bom entendi errado entao achei que estava na serra espero que abra o tempo e fiquei um lindo final de semana
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,😍,
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,studio sent an attachment.,studio sent an attachment
instagram_csv,,curadobia,you sent an attachment.,you sent an attachment
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,😍,
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,👏,
instagram_csv,,cliente,👏,
instagram_csv,,cliente,bia gosto muito das suas bolsas . poderia passar umas dicas ?? não encontrei no seu site …,bia gosto muito das suas bolsas poderia passar umas dicas nao encontrei no seu site
instagram_csv,,curadobia,oie! em breve trarei uma curadobia de bolsas por aqui tmb 😉,oie em breve trarei uma curadobia de bolsas por aqui tmb
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,olá bia tudo bem?,ola bia tudo bem
instagram_csv,,curadobia,"ola, td e vc?",ola td e vc
instagram_csv,,cliente,"tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos lojas etc
instagram_csv,,curadobia,"ola vera, na verdade a curadoria de pecas que seleciono ja faz parte dessa ajuda",ola vera na verdade a curadoria de pecas que seleciono ja faz parte dessa ajuda
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,é fato! perguntei pois está a procurando uma peça e não encontrava,e fato perguntei pois esta a procurando uma peca e nao encontrava
instagram_csv,,cliente,mas super entendi e aproveito pra agradecer e elogiar seu trabalho,mas super entendi e aproveito pra agradecer e elogiar seu trabalho
instagram_csv,,cliente,beijos,beijos
instagram_csv,,curadobia,ahhh entendi… muito obrigada 😊,ahhh entendi muito obrigada
instagram_csv,,cliente,😍,
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,👏,
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,👏,
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,curadobia,you sent an attachment.,you sent an attachment
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,luana shared a product.,luana shared a product
instagram_csv,,cliente,"olá! onde encontro os sapatos? este e as gladiadoras, especialmente.",ola onde encontro os sapatos este e as gladiadoras especialmente
